start,end,text
4.4,27.81,"Okay, let's get started. So welcome to lecture number six. So today we start with neural networks and we will continue with that topic next week. Right, and the goal of today is to basically explain how a neural network works, what the basic elements are."
27.81,54.8,"And the lecture on Monday will in detail explain to you how a standard neural network is actually learning, right, how that works. And on Monday I will do exactly the same as I did for the support vector machines, that I walk step for step in such a way that you really hopefully understand the formulas, how it actually works, rather than looking at this from a very distance."
55.12,81.09,"So today will be a bit less formal, a bit less technical. The lecture on Monday will be more and more technical because I just introduced the concepts. And because I have a bit of time, there is also like another topic that is very compact to explain, that is Bayesian classification, right? And I will also explain that. So around, I don't know."
81.09,109.1,"One fifth or something like that will be devoted to this, but most of the time I will talk about neural networks. Let's take a step back. We have seen, let's say already, like in the last couple of lectures, we have seen various supervised learning methods. And the goal of a supervised learning method is that you are interested in a target feature, so you know what you are interested in. We will also have many lectures."
109.1,137.84,"devoted to unsupervised learning, where it's not so clear, where you do not have a target feature. But we've always been looking at problems, if you go to decision trees, if you go to regression, if you go to SVMs, where it is very clear what the target feature is. And there, what we will talk about later, it is crucial to decide how good these models are. And a central team,"
137.84,166.78,"that we do not talk about now, but that you will see later, is that you can only evaluate how good a supervised learning technique is if you apply it to unseen data. Because it's very easy to build a model that performs perfectly on the test data, but due to overfitting, would perform very badly, let's say, in the general setting. So as I said, let's take a brief step back and also reflect a bit on the things that we have seen."
166.78,195.98,"So it can be that your target feature is numerical. And then I can show a picture like this. So the goal is to learn a function where we start with an input feature. It can also be multiple. But here is just like an x-coordinate. And we would like to learn, let's say, what the corresponding y-feature is. So we look at input."
195.98,225.26,"And given the input, we try to predict what the output would be. So this is, let's say, finding out how this line is running. So we only have the green dots. And the idea is that we learn a function in such a way that if we see a new green dot, a new observation, that would be precisely on that line. Right? That's the way it works with the numerical target feature. And for example, when we talked about regression, this is what you saw."
225.49,253.81,"We also looked at, for example, in the last lecture we spoke about SVMs. SVMs try to find a separating plane. A separating plane between instances that are classified differently. So in these situations, our target feature is categorical. And we would like to predict for, let's say, unseen instances, given the X."
253.81,280.77,"which is now like a point in this two-dimensional plane, given an X1 and an X2, we would like to predict, is the result red or green? So in essence, the only thing that supervised learning is doing, based on examples, it tries to learn a function. And a neural network, that's why I'm explaining it in this way,"
280.77,311.17,"A neural network can be just seen as a function, right? There's nothing more, there's nothing less. So what have we seen? We have seen decision trees. A decision tree can also be seen as a function. Decision trees lend themselves very well for categorical variables, but we saw extensions towards numerical. Then we went to regression, and if you look at regression, first it is kind of tailored towards numerical data, as I just indicated."
311.17,338.67,"But we have seen, okay, we can also do logistic regression, and then we turn this machinery into something that works on categorical. SVMs can be seen as an extension of, let's say, logistic regression, and we only discussed it where the target feature was categorical. Actually, in my whole lecture that I talked about on Monday, we just assumed the binary."
